"SamplingEvent_id","year","month","day","Longitude","Latitude"
"S5462717",2007,8,5,-113.7737538,53.4175943
"S17532142",2009,6,17,-113.7744141,53.5386752
"S14812267",2011,8,7,-113.4860229,53.5158177
"S14804492",2012,8,15,-113.4860229,53.5158177
"S14480483",2013,6,22,-113.4676552,53.5555043
"S14683366",2013,6,18,-113.82444,53.5674
"S14619720",2013,6,18,-113.82444,53.5674
"S14869533",2013,8,6,-113.575773,53.545526
"S14908259",2013,8,11,-113.5394096,53.5159912
"S18834341",2014,6,18,-114.76316,53.58407
"S19097163",2014,7,13,-114.76301,53.57776
"S19096180",2014,7,13,-114.76301,53.57776
"S19097463",2014,7,13,-114.76301,53.57776
"S19097449",2014,7,13,-114.7346878,53.5548925
"S19097730",2014,7,13,-114.7621692,53.5783164
"S19099785",2014,7,13,-114.76301,53.57776
"S19114379",2014,7,13,-114.76301,53.57776
"S19257750",2014,7,29,-113.025261,53.806409
"S1115054",2003,8,12,-112.76908,51.469677
"S18880956",2014,6,22,-113.0179882,51.8357245
"S16364712",2000,6,25,-114.6512604,50.3832391
"S16389490",2001,6,24,-114.6512604,50.3832391
"S15479544",2002,6,21,-118.1259875,52.8341256
"S15477855",2002,6,21,-118.1259875,52.8341256
"S5575336",2002,6,23,-114.6512604,50.3832391
"S5574429",2002,6,16,-115.0344086,51.0280082
"S5576750",2002,7,14,-115.0344086,51.0280082
"S5576678",2002,7,6,-115.0344086,51.0280082
"S4343416",2002,7,21,-118.0779661,52.8711408
"S4233318",2003,6,27,-118.0779661,52.8711408
"S5613151",2003,6,26,-114.6512604,50.3832391
"S4235566",2004,6,27,-118.0779661,52.8711408
"S5638119",2004,6,20,-114.6512604,50.3832391
"S11431661",2004,7,2,-114.9857426,50.5970228
"S5639172",2004,7,2,-114.7789764,51.0439842
"S7055949",2004,8,5,-115.5747986,51.1974182
"S18967047",2005,7,1,-115.59001,51.182755
"S5831294",2005,7,1,-114.6512604,50.3832391
"S5831333",2005,7,9,-115.3817654,51.1221656
"S2982977",2007,6,16,-114.6512604,50.3832391
"S8906459",2007,7,14,-118.0151367,53.1945158
"S3010596",2007,7,14,-115.0831604,51.0819592
"S9758515",2008,6,20,-118.0779661,52.8711408
"S3985388",2008,6,20,-118.0779661,52.8711408
"S13695259",2008,6,29,-115.59001,51.182755
"S3954949",2008,6,22,-114.6512604,50.3832391
"S11723961",2008,7,5,-118.1038267,52.803303
"S11468625",2008,7,5,-118.1038267,52.803303
"S11476896",2009,6,17,-118.0779661,52.8711408
"S11476925",2009,6,18,-115.1707079,50.8432567
"S16798926",2009,6,15,-118.0938864,52.9254303
"S5093355",2009,6,15,-116.2180781,51.4172682
"S5635309",2009,7,6,-115.9936523,51.3082965
"S5635310",2009,7,5,-118.1964111,52.7894756
"S5216400",2009,7,6,-115.9936523,51.3082965
"S5216376",2009,7,5,-118.1964111,52.7894756
"S18050799",2009,8,3,-118.0209732,52.8218527
"S18050997",2009,8,5,-118.0209732,52.8218527
"S18051167",2009,8,6,-116.17836,51.4169804
"S11723962",2010,7,9,-118.1038267,52.803303
"S11467703",2010,7,9,-118.1038267,52.803303
"S6624472",2010,7,4,-118.1019974,52.8943024
"S6624473",2010,7,4,-118.1019974,52.8943024
"S8895469",2010,7,19,-118.0779661,52.8711408
"S6732113",2010,8,3,-115.58523,51.182087
