"SamplingEvent_id","year","month","day","Longitude","Latitude"
"S12363911",2004,6,27,-113.6403674,52.5539964
"S12507333",2005,6,30,-113.6403674,52.5539964
"S11724005",2008,7,20,-113.8191587,52.2687056
"S11468890",2008,7,20,-113.8191587,52.2687056
"S19048786",2014,7,8,-114.40321,51.96478
"S17288388",2002,6,19,-113.82444,53.5674
"S11466657",2005,7,17,-114.5298368,53.254248
"S11466856",2007,7,7,-114.5298368,53.254248
"S11466845",2007,8,11,-113.3745289,53.5848627
"S11468501",2008,8,15,-113.3745289,53.5848627
"S5117861",2009,6,25,-114.575,53.1326667
"S11468368",2009,8,15,-113.621893,53.632069
"S6555270",2010,6,18,-114.575,53.1326667
"S6571258",2010,6,23,-114.575,53.1326667
"S6570557",2010,6,21,-114.575,53.1326667
"S6587641",2010,6,28,-114.575,53.1326667
"S17782349",2010,8,15,-113.3751297,53.5602322
"S8623974",2011,8,2,-113.5486794,53.5098462
"S13192232",2011,8,15,-113.5085106,53.6168484
"S8674698",2011,8,14,-113.5553741,53.4978495
"S8672624",2011,8,14,-114.575,53.1326667
"S11039670",2012,6,24,-114.575,53.1326667
"S11087062",2012,7,2,-113.6564552,53.6141852
"S11087901",2012,7,2,-114.575,53.1326667
"S11086645",2012,7,2,-113.6564552,53.6141852
"S11086495",2012,7,2,-113.6564552,53.6141852
"S11086459",2012,7,2,-113.6564552,53.6141852
"S11298742",2012,8,7,-114.0861868,53.6244752
"S11327685",2012,8,11,-113.5104203,53.4923351
"S11327909",2012,8,11,-113.4590958,53.5411213
"S11330505",2012,8,11,-113.4590958,53.5411213
"S11329100",2012,8,11,-113.4590958,53.5411213
"S11330144",2012,8,12,-114.0861868,53.6244752
"S11328774",2012,8,11,-113.4590958,53.5411213
"S11329123",2012,8,11,-113.4590958,53.5411213
"S11328644",2012,8,11,-113.4590958,53.5411213
"S12767367",2012,8,11,-113.373971,53.5622086
"S11352255",2012,8,15,-113.5205538,53.5289405
"S14440004",2013,6,16,-113.82411,53.5684658
"S14560846",2013,6,30,-113.4710083,53.5500717
"S14527304",2013,6,28,-113.5064,53.54036
"S14697757",2013,7,20,-113.55578,53.47484
"S14823400",2013,7,29,-113.7737538,53.4175943
"S14823406",2013,7,29,-113.7737538,53.4175943
"S14840288",2013,7,30,-113.6553938,52.8803283
"S14866824",2013,8,5,-114.1314054,53.0246189
"S14869533",2013,8,6,-113.575773,53.545526
"S14873863",2013,8,6,-114.1314054,53.0246189
"S14873881",2013,8,6,-114.1314054,53.0246189
"S14936480",2013,8,15,-113.66047,53.62767
"S14921442",2013,8,13,-113.6553938,52.8803283
"S18834341",2014,6,18,-114.76316,53.58407
"S18795306",2014,6,15,-113.00226,53.59621
"S18938763",2014,6,28,-113.956933,53.6266989
"S19097163",2014,7,13,-114.76301,53.57776
"S19096180",2014,7,13,-114.76301,53.57776
"S19097463",2014,7,13,-114.76301,53.57776
"S19097449",2014,7,13,-114.7346878,53.5548925
"S19097730",2014,7,13,-114.7621692,53.5783164
"S19099785",2014,7,13,-114.76301,53.57776
"S19165483",2014,7,20,-113.0327082,53.8128842
"S19114379",2014,7,13,-114.76301,53.57776
"S19059184",2014,7,9,-113.910563,53.5202192
"S19182977",2014,7,18,-113.0544662,53.803236
"S19183589",2014,7,21,-113.2860911,53.6800272
"S19257750",2014,7,29,-113.025261,53.806409
"S19074852",2014,7,11,-113.0501747,53.8126123
"S19075826",2014,7,11,-113.3321393,53.5884721
"S19067807",2014,7,10,-113.3321393,53.5884721
"S19392688",2014,8,10,-113.0544662,53.803236
"S19392887",2014,8,7,-113.3201981,53.5927595
"S19394512",2014,8,4,-113.5781616,53.5076019
"S19419371",2014,8,11,-113.0544662,53.803236
"S8809888",2011,7,2,-118.8516426,54.910863
"S10997280",2012,6,17,-119.1664106,54.4511511
"S18820691",2014,6,17,-116.61256,54.322046
"S18829278",2014,6,18,-116.61256,54.322046
"S18957416",2014,6,17,-116.61256,54.322046
"S18957421",2014,6,18,-116.61256,54.322046
"S5095174",2009,6,17,-113.4269714,50.8306619
"S19004541",2014,7,5,-113.0179882,51.8357245
"S19085993",2014,7,10,-113.1299973,50.771108
"S19230638",2014,7,26,-113.0179882,51.8357245
"S19242516",2014,7,26,-113.0179882,51.8357245
"S19061080",2014,7,10,-112.782364,51.852629
"S19114680",2014,7,15,-112.5007403,51.3412236
"S16364712",2000,6,25,-114.6512604,50.3832391
"S4343416",2002,7,21,-118.0779661,52.8711408
"S5612942",2003,6,29,-114.7789764,51.0439842
"S11323867",2003,7,3,-115.1707079,50.8432567
"S11323842",2003,7,2,-118.0779661,52.8711408
"S11431469",2004,6,29,-118.0779661,52.8711408
"S11431641",2004,7,1,-115.1707079,50.8432567
"S5639172",2004,7,2,-114.7789764,51.0439842
"S5639482",2004,7,16,-114.7789764,51.0439842
"S18967047",2005,7,1,-115.59001,51.182755
"S2365651",2006,6,18,-114.7789764,51.0439842
"S2372273",2006,6,25,-114.6512604,50.3832391
"S11005036",2007,7,9,-116.7251587,51.935827
"S9758515",2008,6,20,-118.0779661,52.8711408
"S3985388",2008,6,20,-118.0779661,52.8711408
"S3938884",2008,6,15,-114.7789764,51.0439842
"S11468505",2008,7,1,-115.35498,51.08934
"S11476857",2009,6,16,-118.0779661,52.8711408
"S11476896",2009,6,17,-118.0779661,52.8711408
"S11476925",2009,6,18,-115.1707079,50.8432567
"S5139148",2009,6,28,-114.6512604,50.3832391
"S6848727",2009,7,8,-116.17836,51.4169804
"S11468373",2009,7,18,-115.35498,51.08934
"S6564172",2010,6,20,-114.6512604,50.3832391
"S6614549",2010,7,6,-117.8787518,53.2218117
"S6630745",2010,7,11,-114.8714633,51.038771
"S6630737",2010,7,11,-114.761467,51.0424732
"S15531742",2010,7,10,-115.7789543,51.0746763
"S8579854",2011,6,28,-114.761467,51.0424732
"S8579870",2011,6,28,-114.8714633,51.038771
"S8822539",2011,6,25,-114.7277784,51.623532
"S8822540",2011,6,25,-114.7277784,51.623532
"S11467696",2011,7,17,-115.35498,51.08934
"S8504002",2011,7,3,-114.7789764,51.0439842
"S8591457",2011,7,18,-115.197658,50.864819
"S8591461",2011,7,18,-115.209083,50.865121
"S11072307",2012,6,30,-115.1209259,50.616578
"S11018095",2012,6,21,-114.8072129,51.0332971
"S11165100",2012,6,20,-114.767969,51.1467809
"S11165970",2012,6,20,-115.756557,51.2097948
"S11025130",2012,6,21,-118.0779661,52.8711408
"S11230473",2012,7,18,-118.0914402,52.8947684
"S11113070",2012,7,2,-117.8787518,53.2218117
"S14434012",2013,6,16,-114.7789764,51.0439842
"S14434345",2013,6,16,-115.0829887,51.0776454
"S14486965",2013,6,23,-118.0914689,52.893957
"S14445809",2013,6,16,-118.0705619,53.0605442
"S15088238",2013,6,23,-118.0914689,52.893957
"S14449416",2013,6,16,-115.0914001,50.6821024
"S14448836",2013,6,16,-115.0914001,50.6821024
"S14532016",2013,6,29,-118.091277,52.892195
"S14618909",2013,7,9,-114.348278,49.5503288
"S14618812",2013,7,8,-114.36138,49.549867
"S14624130",2013,7,11,-118.0779661,52.8711408
"S14696444",2013,7,20,-117.92385,53.20782
"S14738340",2013,7,22,-114.6056628,49.6309918
"S15831366",2013,7,5,-115.0830156,51.0833408
"S14577557",2013,7,2,-114.6056628,49.6309918
"S18823585",2014,6,17,-115.59001,51.182755
"S18891225",2014,6,23,-118.0911238,52.92447
"S18890923",2014,6,23,-115.0548363,51.0301674
"S18892329",2014,6,24,-115.0548363,51.0301674
"S18888762",2014,6,23,-118.0911238,52.92447
"S18889077",2014,6,15,-114.7965172,51.050422
"S18947951",2014,6,21,-114.4429493,49.5982503
"S18947342",2014,6,29,-115.35456,51.08045
"S18955537",2014,6,25,-115.59001,51.182755
