"SamplingEvent_id","year","month","day","Longitude","Latitude"
"S13098731",2007,8,13,-113.5085106,53.6168484
"S13192155",2007,8,13,-113.5085106,53.6168484
"S19387543",2014,8,10,-113.790598,53.413216
"S18874805",2014,6,22,-115.1717377,50.8519081
"S18976007",2014,7,2,-115.59001,51.182755
"S11074821",2012,6,30,-115.0520774,52.4037721
"S2397845",2006,7,30,-115.0333328,55.3666687
"S12024039",2012,7,11,-114.8157389,55.4152566
"S17381298",2008,7,8,-114.0451095,49.0198068
"S14704115",2013,7,13,-113.9155556,49.0488889
"S19104653",2014,7,14,-114.0564537,49.0173825
"S11026666",2012,6,22,-111.0144305,54.4571085
"S19135346",2014,6,23,-111.3549936,54.9846263
"S19135347",2014,6,23,-111.3555445,54.9810632
"S2642764",2000,7,18,-126.54924,52.3789
"S2642775",2000,7,19,-126.54924,52.3789
"S2623693",2000,7,17,-125.9111,52.40517
"S3194043",2000,6,25,-117.307806,49.5086028
"S3194024",2000,6,24,-117.283591,49.5202356
"S3194720",2000,6,21,-117.3865342,49.4862767
"S3150755",2000,6,30,-117.2817556,49.5206028
"S3152010",2000,6,21,-117.2817556,49.5206028
"S3151740",2000,6,28,-117.2817556,49.5206028
"S3193483",2000,7,19,-117.2839773,49.5117934
"S3150468",2000,7,13,-117.2817556,49.5206028
"S3152164",2000,7,14,-117.2817556,49.5206028
"S3152417",2000,7,30,-117.88878,49.35004
"S3152290",2000,7,3,-117.2817556,49.5206028
"S3151016",2000,7,1,-117.2817556,49.5206028
"S3190599",2000,8,5,-117.2644615,49.5142872
"S3152298",2000,8,4,-117.2817556,49.5206028
"S3193100",2001,6,30,-117.283591,49.5202356
"S3192677",2001,6,16,-117.283591,49.5202356
"S3151699",2001,6,19,-117.2817556,49.5206028
"S3152696",2001,6,28,-117.28111,49.49992
"S3150871",2001,6,26,-117.2817556,49.5206028
"S3150362",2001,7,20,-117.2817556,49.5206028
"S3152257",2001,7,27,-117.2817556,49.5206028
"S3150431",2001,7,13,-117.2817556,49.5206028
"S3151120",2001,7,28,-117.2817556,49.5206028
"S3150765",2001,7,3,-117.2817556,49.5206028
"S3151737",2001,7,19,-117.2817556,49.5206028
"S3151698",2001,8,1,-117.2817556,49.5206028
"S3193367",2002,6,21,-117.283591,49.5202356
"S3192680",2002,6,22,-117.283591,49.5202356
"S3192869",2002,6,29,-117.283591,49.5202356
"S3192759",2002,6,18,-117.283591,49.5202356
"S3152468",2002,6,15,-117.88878,49.35004
"S3150497",2002,7,9,-117.2817556,49.5206028
"S3151477",2002,7,4,-117.2817556,49.5206028
"S3151769",2002,7,10,-117.2817556,49.5206028
"S3152348",2002,7,24,-117.2817556,49.5206028
"S3152612",2002,8,13,-117.12513,49.60353
"S3151642",2002,8,15,-117.2817556,49.5206028
"S3488085",2003,6,15,-117.637825,49.2394571
"S3193365",2003,6,20,-117.283591,49.5202356
"S3192486",2003,6,24,-117.283591,49.5202356
"S3192702",2003,6,17,-117.283591,49.5202356
"S3152364",2003,8,9,-117.2817556,49.5206028
"S3190855",2004,6,28,-117.344327,49.4948349
"S3193759",2004,6,24,-117.283591,49.5202356
"S3192567",2004,6,30,-117.283591,49.5202356
"S3193296",2004,6,15,-117.283591,49.5202356
"S3190521",2004,6,16,-117.344327,49.4948349
"S3192825",2004,6,19,-117.283591,49.5202356
"S3152222",2004,6,20,-117.2817556,49.5206028
"S3152208",2004,6,23,-117.2817556,49.5206028
"S3151959",2004,6,24,-117.2817556,49.5206028
"S3193723",2004,7,31,-117.283591,49.5202356
"S3205557",2004,7,18,-116.5067482,49.0289207
"S3150494",2004,7,6,-117.2817556,49.5206028
"S3193310",2004,8,11,-117.283591,49.5202356
"S3193439",2004,8,7,-117.283591,49.5202356
"S3193897",2004,8,15,-117.283591,49.5202356
"S3192419",2004,8,8,-117.283591,49.5202356
"S3192855",2004,8,9,-117.283591,49.5202356
"S3151454",2004,8,5,-117.2817556,49.5206028
"S3151606",2004,8,1,-117.2817556,49.5206028
"S3151474",2004,8,6,-117.2817556,49.5206028
"S3192725",2005,6,29,-117.3826504,49.5005209
"S3194449",2005,6,24,-117.0970917,49.6089302
"S3192872",2005,6,20,-117.283591,49.5202356
"S3192447",2005,6,28,-117.283591,49.5202356
"S3192991",2005,6,30,-117.283591,49.5202356
"S3485968",2005,6,23,-117.28111,49.49992
"S3486361",2005,6,20,-117.51709,49.48533
"S3151572",2005,6,18,-117.2817556,49.5206028
"S3151118",2005,6,20,-117.2817556,49.5206028
"S3150567",2005,6,26,-117.2817556,49.5206028
"S3151182",2005,6,23,-117.2817556,49.5206028
"S3151236",2005,6,30,-117.2817556,49.5206028
"S3150560",2005,6,16,-117.2817556,49.5206028
"S3194570",2005,7,12,-117.3865342,49.4862767
"S3487813",2005,7,8,-117.3829079,49.4987371
"S3486447",2005,7,11,-117.344327,49.4948349
"S3487912",2005,7,4,-117.3829079,49.4987371
"S3487887",2006,6,26,-117.3829079,49.4987371
"S3485929",2006,6,21,-117.28111,49.49992
"S3206045",2006,6,25,-116.5067482,49.0289207
"S3191757",2006,6,28,-116.9151306,50.284952
"S3151997",2006,6,20,-117.2817556,49.5206028
"S3486288",2006,7,24,-117.344327,49.4948349
"S3487847",2006,7,17,-117.3829079,49.4987371
"S3205682",2006,7,7,-116.5067482,49.0289207
"S3191709",2006,7,4,-116.9151306,50.284952
"S3205948",2006,7,2,-116.5067482,49.0289207
"S3194297",2006,8,4,-117.3865342,49.4862767
"S3152505",2007,6,29,-117.12513,49.60353
"S3151582",2007,6,17,-117.2817556,49.5206028
"S3193163",2007,6,17,-117.283591,49.5202356
"S3193298",2007,6,19,-117.283591,49.5202356
"S3193841",2007,6,22,-117.283591,49.5202356
"S3151080",2007,7,7,-117.2817556,49.5206028
"S3151771",2007,7,10,-117.2817556,49.5206028
"S3193354",2007,7,9,-117.283591,49.5202356
"S3193890",2007,7,2,-117.283591,49.5202356
"S3192538",2007,7,26,-117.283591,49.5202356
"S6964959",2008,6,16,-116.9089508,49.7209279
"S6965470",2008,6,17,-117.283591,49.5202356
"S6964960",2008,6,24,-116.9089508,49.7209279
"S6965471",2008,6,30,-117.283591,49.5202356
"S6965699",2008,6,21,-117.0605278,49.6318396
"S6964841",2008,6,24,-116.9092941,49.6971722
"S6965669",2008,6,16,-116.9147015,49.7143241
"S6964988",2008,6,21,-117.0768356,49.610265
"S6964915",2008,6,24,-116.916667,50.16667
"S6964659",2008,6,23,-117.2817556,49.5206028
"S6964660",2008,6,29,-117.2817556,49.5206028
"S6965473",2008,7,25,-117.283591,49.5202356
"S6965702",2008,7,3,-117.4500275,49.3960047
"S6964906",2008,7,2,-117.2866058,49.6677389
"S5141890",2009,6,20,-116.8665826,49.6862895
"S5093474",2009,6,17,-117.3305511,49.5026948
"S5181576",2009,7,19,-117.0389843,49.0619445
"S5174972",2009,7,14,-116.6354942,49.1282633
"S5682351",2009,7,30,-117.0389843,49.0619445
"S5682352",2009,7,19,-117.0389843,49.0619445
"S5202322",2009,7,28,-117.0428896,49.2785566
"S5202339",2009,7,28,-117.0371175,49.287431
"S5207995",2009,7,30,-117.0389843,49.0619445
"S5262559",2009,8,9,-117.2914124,49.5075996
"S5228044",2009,8,6,-117.0914698,49.4046345
"S5222556",2009,8,4,-117.0567942,49.2086261
"S6965528",2010,6,17,-117.283591,49.5202356
"S6965529",2010,6,22,-117.283591,49.5202356
"S6965530",2010,6,24,-117.283591,49.5202356
"S6965531",2010,6,29,-117.283591,49.5202356
"S6964335",2010,6,15,-117.2817556,49.5206028
"S6560408",2010,6,20,-117.7195358,49.2674685
"S6563065",2010,6,21,-117.2743079,49.5015625
"S6567290",2010,6,22,-117.717433,49.3404266
"S6571918",2010,6,24,-117.717433,49.3404266
"S6568790",2010,6,22,-117.6507854,49.331443
"S6764743",2010,6,20,-117.7369165,49.2725649
"S6589811",2010,6,29,-117.717433,49.3404266
"S6965196",2010,7,3,-117.283591,49.5202356
"S6595376",2010,7,1,-117.6435757,49.2374957
"S6597198",2010,7,1,-117.717433,49.3404266
"S6965912",2010,8,5,-117.2486687,49.1093321
"S8463952",2011,6,21,-117.6542616,50.1563633
"S8463924",2011,6,21,-117.6542616,50.1563633
"S8464002",2011,6,22,-117.6542616,50.1563633
"S8479843",2011,6,27,-117.717433,49.3404266
"S8411138",2011,6,15,-117.2743079,49.5015625
"S8509012",2011,6,25,-117.5505781,49.3924854
"S8509016",2011,6,26,-117.5505781,49.3924854
"S17135071",2011,6,27,-118.0700684,49.8018174
"S17131716",2011,6,22,-117.283591,49.5202356
"S17131858",2011,6,20,-117.283591,49.5202356
"S17132557",2011,6,25,-117.2817556,49.5206028
"S17131937",2011,6,26,-117.283591,49.5202356
"S17135069",2011,6,30,-117.1849823,49.2572144
"S17135070",2011,6,28,-118.0700684,49.8018174
"S17135314",2011,6,17,-118.1016541,50.0489237
"S8436088",2011,6,19,-117.5505781,49.3924854
"S15096873",2011,6,16,-117.6888641,49.3806465
"S15096890",2011,6,18,-117.5541392,49.651217
"S15096891",2011,6,18,-117.6913913,49.560531
"S8444661",2011,6,19,-117.5505781,49.3924854
"S8444668",2011,6,20,-117.5505781,49.3924854
"S8551153",2011,7,13,-117.717433,49.3404266
"S8544461",2011,7,13,-117.3588753,49.5052587
"S8556495",2011,7,16,-117.3588753,49.5052587
"S8574122",2011,7,21,-117.88878,49.35004
"S8508016",2011,7,3,-117.5505781,49.3924854
"S8510044",2011,7,4,-117.3588753,49.5052587
"S8510055",2011,7,4,-117.344327,49.4948349
"S8509031",2011,7,3,-117.5505781,49.3924854
"S8508871",2011,7,4,-117.3588753,49.5052587
"S8508843",2011,7,4,-117.344327,49.4948349
