"SamplingEvent_id","year","month","day","Longitude","Latitude"
"S11120248",2012,6,23,-110.2705307,49.6582054
"S12771777",2002,6,18,-110.1410294,54.4614576
"S7593619",2002,6,18,-110.1410294,54.4614576
"S7595771",2002,6,18,-110.1410294,54.4614576
"S11723883",2009,6,21,-110.1741989,54.4656892
"S11468383",2009,6,21,-110.1741989,54.4656892
"S11185128",2012,7,20,-110.1410294,54.4614576
"S14752313",2013,7,22,-110.13716,54.46239
"S6661037",2010,7,12,-96.4015961,56.545858
"S8938745",2011,6,21,-97.15423,57.94047
"S8938803",2011,6,28,-97.15423,57.94047
"S8938713",2011,6,21,-97.15423,57.94047
"S8938715",2011,6,28,-97.15423,57.94047
"S11220755",2012,7,2,-92.8391414,56.1249682
"S11221154",2012,7,4,-92.8478317,56.3314819
"S11220767",2012,7,4,-92.8383871,56.30466
"S11220976",2012,7,7,-92.7235565,56.4998932
"S11221043",2012,7,7,-92.7235718,56.4971619
"S7461742",2008,6,22,-98.901329,49.5470433
"S4042066",2008,7,29,-99.0594406,50.5574989
"S18894189",2014,6,24,-99.0594406,50.5574989
"S11830002",2000,8,10,-97.128603,49.866455
"S12195202",2002,8,11,-97.128603,49.866455
"S1726890",2004,8,3,-97.2314072,49.8739509
"S9568007",2007,7,19,-97.128603,49.866455
"S3037228",2007,8,8,-97.1433449,49.828128
"S3042392",2007,8,12,-97.2353554,49.8742828
"S3045656",2007,8,14,-97.2353554,49.8742828
"S4073574",2008,8,14,-97.1433449,49.828128
"S4074576",2008,8,15,-97.1433449,49.828128
"S4059375",2008,8,7,-97.1433449,49.828128
"S4061443",2008,8,8,-97.1433449,49.828128
"S12933779",2010,8,6,-97.1014434,49.9342847
"S12933783",2010,8,9,-97.1014434,49.9342847
"S17377870",2010,8,15,-97.2271847,49.8702528
"S13864610",2010,8,15,-97.2314072,49.8739509
"S8581672",2011,7,23,-97.0458412,49.8793162
"S8637525",2011,8,6,-97.0458412,49.8793162
"S8668379",2011,8,13,-97.0458412,49.8793162
"S14841197",2013,8,2,-97.2415446,49.8563786
"S19462407",2014,8,13,-97.0881343,49.9230183
"S19513838",2014,8,11,-97.1014434,49.9342847
"S19475016",2014,8,15,-97.1087336,49.930464
"S19478476",2014,8,15,-97.0881343,49.9230183
"S1727153",2004,8,5,-96.97261,50.5192268
"S10000586",2006,7,1,-96.71008,51.0918
"S2413990",2006,8,10,-98.3813889,50.1833333
"S4199898",2008,7,30,-96.71008,51.0918
"S5139138",2009,7,3,-98.1412125,51.2253779
"S6576677",2010,6,23,-97.6300049,51.1789125
"S8720199",2011,7,23,-96.4160701,51.3327586
"S8720200",2011,7,24,-96.4160701,51.3327586
"S8720282",2011,7,23,-96.4211097,51.2429294
"S8720283",2011,7,24,-96.4211097,51.2429294
"S8719968",2011,7,23,-96.4261235,51.1530984
"S8720506",2011,7,24,-96.5546925,51.4256734
"S8720507",2011,7,23,-96.5546925,51.4256734
"S8720204",2011,7,24,-96.5594778,51.3358361
"S8870475",2011,7,26,-96.7118501,51.1590399
"S12149965",2012,6,24,-98.3544235,51.067234
"S18551198",2013,6,15,-96.765024,51.241595
"S18113681",2013,8,4,-96.8241691,51.183002
"S19053968",2014,6,24,-96.7371592,51.2431878
"S19053848",2014,7,7,-96.682992,51.2560798
"S19073712",2014,7,8,-96.753931,51.2435819
"S13377189",2010,6,16,-100.6648064,49.4582636
"S5117396",2009,6,25,-99.3105698,50.1755789
"S8720711",2010,6,28,-100.0161972,50.6240845
"S19013404",2010,6,28,-100.0161972,50.6240845
"S19349093",2014,7,26,-99.5450576,50.4778828
"S19349094",2014,7,26,-99.5646121,50.5505637
"S3444379",2007,7,6,-98.3592224,49.0145679
"S2993981",2007,6,24,-95.4656982,50.4050166
"S5151119",2009,7,7,-100.6230927,52.3630218
"S5167764",2009,7,8,-101.6262817,52.819363
"S5167860",2009,7,8,-100.7322693,52.7354601
"S5136031",2009,7,2,-98.9579773,51.5207071
"S5132658",2009,7,1,-97.4609184,51.4499419
"S8720275",2011,6,24,-96.2832981,51.1498662
"S8525387",2011,6,20,-98.896,52.5996
"S8525484",2011,6,20,-98.896,52.5996
"S8789179",2011,6,23,-96.2937991,50.9702196
"S8789187",2011,6,23,-96.1460396,51.0566483
"S8789174",2011,6,23,-96.3093501,50.7007364
"S8789182",2011,6,23,-96.3041929,50.790566
"S8789190",2011,6,23,-96.2990093,50.8803937
"S8789191",2011,6,23,-96.2885621,51.0600438
"S10870355",2011,6,24,-96.2832981,51.1498662
"S8720736",2011,7,13,-96.9770278,52.3243407
"S8723139",2011,7,12,-96.7696642,52.2764995
