"SamplingEvent_id","year","month","day","Longitude","Latitude"
"S3744397",2005,8,7,-107.215576,29.928755
"S8670648",2011,8,13,-104.5005959,24.0904859
"S8675126",2011,8,13,-104.5005959,24.0904859
"S9807637",2006,8,6,-100.2339363,24.8698977
"S6765662",2010,8,13,-108.9469743,27.0168586
"S4900396",2001,8,14,-109.458847,34.0101945
"S4901157",2003,7,10,-109.458847,34.0101945
"S18528997",2003,7,1,-109.1429901,33.8505433
"S4904336",2004,7,26,-109.458847,34.0101945
"S4904180",2004,7,21,-109.458847,34.0101945
"S4904221",2004,7,22,-109.458847,34.0101945
"S4904402",2004,7,31,-109.458847,34.0101945
"S6498588",2004,7,30,-109.5077705,33.9593794
"S5885337",2004,7,31,-109.412984,34.0880439
"S5885198",2004,7,30,-109.5077705,33.9593794
"S1960428",2005,7,13,-109.501,33.942
"S1960762",2005,7,13,-109.5748435,34.1100646
"S5887962",2005,7,28,-109.5077705,33.9593794
"S5887976",2005,7,28,-109.4519042,34.0155775
"S6498592",2005,7,28,-109.4519042,34.0155775
"S6498596",2005,7,28,-109.5077705,33.9593794
"S2602966",2006,6,27,-109.4409211,34.0360261
"S7574972",2006,7,14,-109.438694,33.9622697
"S7574708",2006,7,14,-109.438694,33.9622697
"S6885788",2006,7,29,-109.2382056,34.0331111
"S6885790",2006,7,30,-109.5077705,33.9593794
"S6885794",2006,7,30,-109.412984,34.0880439
"S17048632",2007,7,29,-109.28564,34.13335
"S4919072",2007,7,25,-109.458847,34.0101945
"S5153397",2008,7,30,-109.8460293,34.1138654
"S4919237",2008,7,19,-109.458847,34.0101945
"S4919252",2008,7,20,-109.458847,34.0101945
"S6806864",2008,8,11,-109.3866634,34.1048223
"S5169256",2009,7,14,-109.458847,34.0101945
"S5179163",2009,7,19,-109.458847,34.0101945
"S5174468",2009,7,17,-109.3061496,34.1555035
"S5174434",2009,7,17,-109.3044806,34.1873109
"S5172310",2009,7,16,-109.458847,34.0101945
"S8533577",2010,7,31,-109.45865,34.01005
"S6705311",2010,7,27,-109.4519042,34.0155775
"S6705378",2010,7,28,-109.4541693,34.0082023
"S6708177",2010,7,31,-109.4043446,34.124666
"S6708150",2010,7,31,-109.412984,34.0880439
"S6708051",2010,7,29,-109.4425392,34.0260235
"S6728153",2010,8,3,-109.4425392,34.0260235
"S6728141",2010,8,2,-109.4541693,34.0082023
"S8628106",2011,7,31,-109.4577098,34.0401427
"S8627478",2011,7,31,-109.4425392,34.0260235
"S8591322",2011,7,25,-109.3061496,34.1555035
"S8591284",2011,7,25,-109.4584179,34.0155305
"S8591170",2011,7,25,-109.4425392,34.0260235
"S8595849",2011,7,26,-109.4577098,34.0401427
"S8602101",2011,7,28,-109.5170403,33.9483441
"S8607743",2011,7,29,-109.4409211,34.0360261
"S8607954",2011,7,29,-109.4584179,34.0155305
"S8607980",2011,7,29,-109.4577098,34.0401427
"S8599556",2011,7,27,-109.4584179,34.0155305
"S8599536",2011,7,27,-109.4637394,33.9983831
"S8617396",2011,7,31,-109.5748435,34.1100646
"S11084386",2012,7,2,-109.3044806,34.1873109
"S11244620",2012,7,31,-109.4647197,33.993428
"S11244144",2012,7,31,-109.4519042,34.0155775
"S11234879",2012,7,28,-109.7211809,34.0390958
"S11254819",2012,7,31,-109.4519042,34.0155775
"S11254740",2012,7,31,-109.4519042,34.0155775
"S11257164",2012,7,31,-109.4519042,34.0155775
"S11257144",2012,7,31,-109.4647197,33.993428
"S11257149",2012,7,31,-109.4519042,34.0155775
"S11247069",2012,7,31,-109.4647197,33.993428
"S11247073",2012,7,31,-109.4519042,34.0155775
"S11423193",2012,8,3,-109.7285271,34.0459746
"S11423179",2012,8,2,-109.412984,34.0880439
"S11332452",2012,8,2,-109.412984,34.0880439
"S11333367",2012,8,3,-109.7285271,34.0459746
"S11250216",2012,8,1,-109.7232409,34.0409638
"S11252653",2012,8,1,-109.7232409,34.0409638
"S14660407",2013,7,14,-109.0500784,35.6826424
"S14676177",2013,7,5,-109.8551273,34.0717866
"S14802963",2013,7,14,-109.412984,34.0880439
"S14691960",2013,7,20,-109.4519042,34.0155775
"S14822403",2013,7,21,-109.4425392,34.0260235
"S14822621",2013,7,23,-109.4043446,34.124666
"S14822681",2013,7,23,-109.412984,34.0880439
"S14822582",2013,7,22,-109.4577098,34.0401427
"S14822312",2013,7,20,-109.4584179,34.0155305
"S14649556",2013,7,14,-109.412984,34.0880439
"S14772394",2013,7,23,-109.4425392,34.0260235
"S14772627",2013,7,23,-109.4425392,34.0260235
"S14595869",2013,7,7,-109.4596571,34.0735797
"S14653608",2013,7,14,-109.412984,34.0880439
"S14911209",2013,8,8,-109.8558998,34.1158551
"S19215648",2014,7,25,-109.5077705,33.9593794
"S19215703",2014,7,25,-109.5077705,33.9593794
"S19239079",2014,7,25,-109.5077705,33.9593794
"S19244377",2014,7,25,-109.5077705,33.9593794
"S19420878",2014,7,31,-109.5219648,33.952794
"S19353907",2014,8,2,-109.4519042,34.0155775
"S19353915",2014,8,2,-109.4519042,34.0155775
"S19440803",2014,8,11,-109.528473,33.948262
"S19439845",2014,8,11,-109.528473,33.948262
"S19438692",2014,8,11,-109.5077705,33.9593794
"S19438694",2014,8,1,-109.4519042,34.0155775
"S19439247",2014,8,11,-109.528473,33.948262
"S19438628",2014,8,11,-109.5077705,33.9593794
